id,device,timestamp,screenOn,timestamp
59d47dd0-4a17-477a-967b-aeb1e7023f4a-1,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1424196638,False,1424196638
b9446e71-0d75-4d5b-936c-f9bc86eaac82-1430,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1424202381,True,1424202381
b9446e71-0d75-4d5b-936c-f9bc86eaac82-1431,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1424205981,False,1424205981
b9446e71-0d75-4d5b-936c-f9bc86eaac82-1432,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1424213197,True,1424213197
b9446e71-0d75-4d5b-936c-f9bc86eaac82-1433,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385067198.677,False,1385067198.677
b9446e71-0d75-4d5b-936c-f9bc86eaac82-1434,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385067806.405,True,1385067806.405
b9446e71-0d75-4d5b-936c-f9bc86eaac82-1435,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385067813.769,False,1385067813.769
fc77df91-c71d-4730-97be-5df64ada38ef-1431,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385068449.903,True,1385068449.903
fc77df91-c71d-4730-97be-5df64ada38ef-1432,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385068469.919,False,1385068469.919
fc77df91-c71d-4730-97be-5df64ada38ef-1433,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385068487.838,True,1385068487.838
fc77df91-c71d-4730-97be-5df64ada38ef-1434,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385068487.972,False,1385068487.972
fc77df91-c71d-4730-97be-5df64ada38ef-1435,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385068488.983,True,1385068488.983
fc77df91-c71d-4730-97be-5df64ada38ef-1436,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385068489.332,False,1385068489.332
fc77df91-c71d-4730-97be-5df64ada38ef-1437,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385068505.054,True,1385068505.054
fc77df91-c71d-4730-97be-5df64ada38ef-1438,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385068511.424,False,1385068511.424
fc77df91-c71d-4730-97be-5df64ada38ef-1440,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385070008.574,True,1385070008.574
fc77df91-c71d-4730-97be-5df64ada38ef-1441,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385070161.573,False,1385070161.573
fc77df91-c71d-4730-97be-5df64ada38ef-1442,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385070181.719,True,1385070181.719
fc77df91-c71d-4730-97be-5df64ada38ef-1443,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385070189.622,False,1385070189.622
fc77df91-c71d-4730-97be-5df64ada38ef-1444,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385070264.962,True,1385070264.962
fc77df91-c71d-4730-97be-5df64ada38ef-1445,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385070290.758,False,1385070290.758
fc77df91-c71d-4730-97be-5df64ada38ef-1446,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385070567.769,True,1385070567.769
fc77df91-c71d-4730-97be-5df64ada38ef-1447,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385070593.065,False,1385070593.065
fc77df91-c71d-4730-97be-5df64ada38ef-1448,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385070599.657,True,1385070599.657
fc77df91-c71d-4730-97be-5df64ada38ef-1449,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385070624.565,False,1385070624.565
fc77df91-c71d-4730-97be-5df64ada38ef-1450,f2315250-3e23-4e34-bd13-bcdcdf4bb472,1385071206.135,True,1385071206.135
