id,device,timestamp,CALLS__id,CALLS_date,CALLS_duration,CALLS_name,CALLS_number,CALLS_numberlabel,CALLS_numbertype,CALLS_type
7e903809-11e0-425a-a1e6-fe51d109a4c7-15,0e046461-bc76-44da-bd09-84192a327d7e,1424196638,2630,1424196638068,1000,"{""ONE_WAY_HASH"":""cff54094ba356bfb30e7c30f86a145b0d3a964da""}","{""ONE_WAY_HASH"":""9a4eb64122ed73abace082cf1370d2a25c559c7a""}",,"{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",2
7e903809-11e0-425a-a1e6-fe51d109a4c7-15,0e046461-bc76-44da-bd09-84192a327d7e,1424196638,2629,1424196557081,0,"{""ONE_WAY_HASH"":""cff54094ba356bfb30e7c30f86a145b0d3a964da""}","{""ONE_WAY_HASH"":""9a4eb64122ed73abace082cf1370d2a25c559c7a""}",,"{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",3
7e903809-11e0-425a-a1e6-fe51d109a4c7-15,0e046461-bc76-44da-bd09-84192a327d7e,1424196638,2628,1424195906163,2000,"{""ONE_WAY_HASH"":""cff54094ba356bfb30e7c30f86a145b0d3a964da""}","{""ONE_WAY_HASH"":""9a4eb64122ed73abace082cf1370d2a25c559c7a""}",,"{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",2
7e903809-11e0-425a-a1e6-fe51d109a4c7-15,0e046461-bc76-44da-bd09-84192a327d7e,1424196638,2627,1424131355971,274,"{""ONE_WAY_HASH"":""39342583b8b722d951824fa86580e404f1a3f457""}","{""ONE_WAY_HASH"":""e36ce705a378472515c93d4029da90ff3691044""}",,"{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",2
7e903809-11e0-425a-a1e6-fe51d109a4c7-15,0e046461-bc76-44da-bd09-84192a327d7e,1424196638,2626,1424131006806,3210,"{""ONE_WAY_HASH"":""967082f2aa15d0a0c0acc03ed8e64555840f63f""}","{""ONE_WAY_HASH"":""71762321b67873c7666af97a917b6f39b541507a""}",,"{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",2
7e903809-11e0-425a-a1e6-fe51d109a4c7-15,0e046461-bc76-44da-bd09-84192a327d7e,1424196638,2625,1424048838359,143,"{""ONE_WAY_HASH"":""39342583b8b722d951824fa86580e404f1a3f457""}","{""ONE_WAY_HASH"":""820c434e4df5770e632483878f6f1a4653d51174""}",,"{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1
7e903809-11e0-425a-a1e6-fe51d109a4c7-15,0e046461-bc76-44da-bd09-84192a327d7e,1424196638,2624,1424048644288,5,"{""ONE_WAY_HASH"":""39342583b8b722d951824fa86580e404f1a3f457""}","{""ONE_WAY_HASH"":""e36ce705a378472515c93d4029da90ff3691044""}",,"{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",2
7e903809-11e0-425a-a1e6-fe51d109a4c7-15,0e046461-bc76-44da-bd09-84192a327d7e,1424196638,2623,1424048155997,3,"{""ONE_WAY_HASH"":""108290c8ff4695c925874c07f1a3541caa7b3a9f""}","{""ONE_WAY_HASH"":""f1fce9bafd747deaf6c22edababd4baa5cce15ff""}",,"{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",2
7e903809-11e0-425a-a1e6-fe51d109a4c7-15,0e046461-bc76-44da-bd09-84192a327d7e,1424196638,2622,1424047994069,19,,"{""ONE_WAY_HASH"":""d14042bc9ebe3603aaa8743d97a35b0466fbdd1f""}",,"{""ONE_WAY_HASH"":""b6589fc6ab0dc82cf12099d1c2d40ab994e8410c""}",2
7e903809-11e0-425a-a1e6-fe51d109a4c7-15,0e046461-bc76-44da-bd09-84192a327d7e,1424196638,2621,1423961525752,34,"{""ONE_WAY_HASH"":""967082f2aa15d0a0c0acc03ed8e64555840f63f""}","{""ONE_WAY_HASH"":""71762321b67873c7666af97a917b6f39b541507a""}",,"{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",2
