¥éËid,device,timestamp,location_id,location_color,duration,mAccuracy,mAltitude,mBearing,mExtras_networkLocationSource,mExtras_networkLocationType,mExtras_satellites,mHasAccuracy,mHasAltitude,mHasBearing,mHasSpeed,mProvider,mSpeed,mTime
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3934,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385411581,0,#0000FF,46.10198998,39,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3935,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385411581,0,#0000FF,0.083009958,39,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3940,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385413334,0,#0000FF,1753.642,39,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3941,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385413336,0,#0000FF,1.125999928,43,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3942,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385413336,0,#0000FF,0.110000134,43,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3943,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385413381,0,#0000FF,44.86399984,27,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3944,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385413381,0,#0000FF,0.06400013,27,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3957,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385415135,0,#0000FF,1754.664,25,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3958,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385415137,0,#0000FF,1.375,30,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3959,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385415137,0,#0000FF,0.493999958,30,0,0,cached,wifi,,TRUE,FALSE,FALSE,FALSE,network,0,1.39E+12
