¥éËid,device,timestamp,_id,date,duration,name,number,numberlabel,numbertype,timestamp,type,datetime
42acb6c6-860b-42ea-8718-0261bb680d0e-1361,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374289781,7395,1.37E+12,0,"{""ONE_WAY_HASH"":""ce2cb4fa736ed39019c7905205ecce08b2b6b137""}","{""ONE_WAY_HASH"":""8548223baa57f8ee6d6fbf17131e246d4943c2c5""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374289781,1,7/19/13 10:09 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1362,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374289748,7394,1.37E+12,0,"{""ONE_WAY_HASH"":""ce2cb4fa736ed39019c7905205ecce08b2b6b137""}","{""ONE_WAY_HASH"":""8548223baa57f8ee6d6fbf17131e246d4943c2c5""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374289748,2,7/19/13 10:09 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1363,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374289678,7393,1.37E+12,0,"{""ONE_WAY_HASH"":""6cd7e0da5eafbb3f24598db6eaaf4495fd4dafbf""}","{""ONE_WAY_HASH"":""572ee3ed0e7c54f9f603f61190bc791804066242""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374289678,2,7/19/13 10:07 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1364,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374289677,7392,1.37E+12,0,"{""ONE_WAY_HASH"":""ce2cb4fa736ed39019c7905205ecce08b2b6b137""}","{""ONE_WAY_HASH"":""8548223baa57f8ee6d6fbf17131e246d4943c2c5""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374289677,1,7/19/13 10:07 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1365,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374289641,7391,1.37E+12,0,"{""ONE_WAY_HASH"":""6cd7e0da5eafbb3f24598db6eaaf4495fd4dafbf""}","{""ONE_WAY_HASH"":""572ee3ed0e7c54f9f603f61190bc791804066242""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374289641,1,7/19/13 10:07 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1366,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374289634,7390,1.37E+12,0,"{""ONE_WAY_HASH"":""ce2cb4fa736ed39019c7905205ecce08b2b6b137""}","{""ONE_WAY_HASH"":""8548223baa57f8ee6d6fbf17131e246d4943c2c5""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374289634,2,7/19/13 10:07 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1367,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374289624,7389,1.37E+12,0,"{""ONE_WAY_HASH"":""ce2cb4fa736ed39019c7905205ecce08b2b6b137""}","{""ONE_WAY_HASH"":""8548223baa57f8ee6d6fbf17131e246d4943c2c5""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374289624,1,7/19/13 10:07 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1368,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374289609,7388,1.37E+12,0,"{""ONE_WAY_HASH"":""6cd7e0da5eafbb3f24598db6eaaf4495fd4dafbf""}","{""ONE_WAY_HASH"":""572ee3ed0e7c54f9f603f61190bc791804066242""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374289609,2,7/19/13 10:06 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1369,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374289602,7387,1.37E+12,0,"{""ONE_WAY_HASH"":""ce2cb4fa736ed39019c7905205ecce08b2b6b137""}","{""ONE_WAY_HASH"":""8548223baa57f8ee6d6fbf17131e246d4943c2c5""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374289602,1,7/19/13 10:06 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1370,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374289586,7386,1.37E+12,0,"{""ONE_WAY_HASH"":""6cd7e0da5eafbb3f24598db6eaaf4495fd4dafbf""}","{""ONE_WAY_HASH"":""572ee3ed0e7c54f9f603f61190bc791804066242""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374289586,1,7/19/13 10:06 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1371,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374289546,7385,1.37E+12,0,"{""ONE_WAY_HASH"":""ce2cb4fa736ed39019c7905205ecce08b2b6b137""}","{""ONE_WAY_HASH"":""8548223baa57f8ee6d6fbf17131e246d4943c2c5""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374289546,2,7/19/13 10:05 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1372,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374289528,7384,1.37E+12,0,"{""ONE_WAY_HASH"":""ce2cb4fa736ed39019c7905205ecce08b2b6b137""}","{""ONE_WAY_HASH"":""8548223baa57f8ee6d6fbf17131e246d4943c2c5""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374289528,1,7/19/13 10:05 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1373,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374289450,7382,1.37E+12,0,"{""ONE_WAY_HASH"":""ce2cb4fa736ed39019c7905205ecce08b2b6b137""}","{""ONE_WAY_HASH"":""8548223baa57f8ee6d6fbf17131e246d4943c2c5""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374289450,1,7/19/13 10:04 PM
42acb6c6-860b-42ea-8718-0261bb680d0e-1374,1a91d598-c454-476d-aec7-4ec2d0d91bc8,1374289433,7383,1.37E+12,5,"{""ONE_WAY_HASH"":""6d5313915527023a153d7d1b1ce985fd51d81464""}","{""ONE_WAY_HASH"":""f0563cb2e6bc4a1935363f5733fdcf545e067af7""}","{""ONE_WAY_HASH"":""""}","{""ONE_WAY_HASH"":""902ba3cda1883801594b6e1b452790cc53948fda""}",1374289433,1,7/19/13 10:03 PM
