ï»¿id,device,timestamp,screenOn,timestamp,,EPOCH constant,,
2aec078e-71c8-4260-9560-a8e0c0f03fbd-2,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385407825,FALSE,1385407825,,1/1/70 0:00,,11/25/13 7:30 PM
2aec078e-71c8-4260-9560-a8e0c0f03fbd-4,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385407826,TRUE,1385407826,,,,11/25/13 7:30 PM
2aec078e-71c8-4260-9560-a8e0c0f03fbd-7,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385407839,FALSE,1385407839,,,,11/25/13 7:30 PM
2aec078e-71c8-4260-9560-a8e0c0f03fbd-9,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385407857,TRUE,1385407857,,,,11/25/13 7:30 PM
2aec078e-71c8-4260-9560-a8e0c0f03fbd-11,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385407877,FALSE,1385407877,,,,11/25/13 7:31 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3908,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385408077,TRUE,1385408077,,,,11/25/13 7:34 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3909,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385408157,FALSE,1385408157,,,,11/25/13 7:35 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3910,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385408174,TRUE,1385408174,,,,11/25/13 7:36 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3911,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385408204,FALSE,1385408204,,,,11/25/13 7:36 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3912,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385408208,TRUE,1385408208,,,,11/25/13 7:36 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3913,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385408429,FALSE,1385408429,,,,11/25/13 7:40 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3914,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385408616,TRUE,1385408616,,,,11/25/13 7:43 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3917,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385408800,FALSE,1385408800,,,,11/25/13 7:46 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3918,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385408953,TRUE,1385408953,,,,11/25/13 7:49 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3919,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385409076,FALSE,1385409076,,,,11/25/13 7:51 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3920,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385409165,TRUE,1385409165,,,,11/25/13 7:52 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3921,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385409194,FALSE,1385409194,,,,11/25/13 7:53 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3936,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385411676,TRUE,1385411676,,,,11/25/13 8:34 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3937,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385411678,FALSE,1385411678,,,,11/25/13 8:34 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3938,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385413175,TRUE,1385413175,,,,11/25/13 8:59 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3939,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385413250,FALSE,1385413250,,,,11/25/13 9:00 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3945,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385413846,TRUE,1385413846,,,,11/25/13 9:10 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3946,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385413847,FALSE,1385413847,,,,11/25/13 9:10 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3947,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385414149,TRUE,1385414149,,,,11/25/13 9:15 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3948,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385414163,FALSE,1385414163,,,,11/25/13 9:16 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3949,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385414347,TRUE,1385414347,,,,11/25/13 9:19 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3950,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385414355,FALSE,1385414355,,,,11/25/13 9:19 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3951,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385414356,TRUE,1385414356,,,,11/25/13 9:19 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3952,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385414367,FALSE,1385414367,,,,11/25/13 9:19 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3953,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385414785,TRUE,1385414785,,,,11/25/13 9:26 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3954,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385414802,FALSE,1385414802,,,,11/25/13 9:26 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3955,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385415043,TRUE,1385415043,,,,11/25/13 9:30 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3956,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385415074,FALSE,1385415074,,,,11/25/13 9:31 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3962,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385415195,TRUE,1385415195,,,,11/25/13 9:33 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3963,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385415205,FALSE,1385415205,,,,11/25/13 9:33 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3964,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385415211,TRUE,1385415211,,,,11/25/13 9:33 PM
b6c74c26-9fa3-440c-a3f2-4ab182848e8d-3965,f581fe16-6ef8-4dd7-a7d1-ea9739a781cf,1385415213,FALSE,1385415213,,,,11/25/13 9:33 PM
